acc_test,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_name,model,dataset,subject,acc_train,acc_val
0.8333333333333334,0.8842592592592593,0.8333333333333334,0.8322089947089947,0.671875,0.7702127659574468,0.7841451610726382,DeepConvNet,DeepConvNet,Motor Imaginary,18,0.9944444298744202,0.5
0.7777777777777778,0.7546296296296297,0.7777777777777778,0.7578898225957049,0.828125,0.6842105263157894,0.6903736279587768,EEGNet,EEGNet,Motor Imaginary,18,0.9055555462837219,0.6111111044883728
0.7222222222222222,0.7092592592592593,0.7222222222222222,0.7070175438596492,0.609375,0.5833333333333334,0.5891968925757666,EEGNet,EEGNet,Motor Imaginary,15,0.8805555701255798,0.6666666865348816
0.7222222222222222,0.7185185185185186,0.7222222222222222,0.6829434697855751,0.859375,0.5852534562211982,0.6057516957756841,HopefullNet,HopefullNet,Motor Imaginary,15,0.8722222447395325,0.5555555820465088
0.7222222222222222,0.T8148148148148148,0.7222222222222222,0.7316993464052288,0.71875,0.6103896103896104,0.6212961078916136,HopefullNet,HopefullNet,Motor Imaginary,18,0.8138889074325562,0.4444444477558136
0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6777777777777777,0.6875,0.5156950672645739,0.5227488743667524,ShallowConvNet,ShallowConvNet,Motor Imaginary,18,1.0,0.6111111044883728
0.6666666666666666,0.7129629629629629,0.6666666666666666,0.6816993464052289,0.75,0.5304347826086957,0.535273095267534,DeepConvNet,DeepConvNet,Motor Imaginary,15,0.9861111044883728,0.3333333432674408
0.6111111111111112,0.4490740740740741,0.6111111111111112,0.5174603174603174,0.9375,0.37623762376237624,0.3958977750648687,ShallowConvNet,ShallowConvNet,Motor Imaginary,17,0.9888888597488403,0.5
0.6111111111111112,0.46666666666666656,0.6111111111111112,0.5083333333333333,0.40625,0.30386740331491724,0.38073453819664144,ShallowConvNet,ShallowConvNet,Motor Imaginary,11,0.980555534362793,0.4444444477558136
0.6111111111111112,0.6370370370370371,0.6111111111111112,0.6091617933723197,0.734375,0.41666666666666663,0.4208549232684047,ShallowConvNet,ShallowConvNet,Motor Imaginary,15,1.0,0.4444444477558136
0.6111111111111112,0.46464646464646464,0.6111111111111112,0.5240740740740741,0.546875,0.3853658536585366,0.4115253188174293,EEGNet,EEGNet,Motor Imaginary,17,0.8416666388511658,0.4444444477558136
0.5555555555555556,0.3555555555555555,0.5555555555555556,0.4305555555555555,0.671875,0.21311475409836078,0.26997539981216395,ShallowConvNet,ShallowConvNet,Motor Imaginary,12,1.0,0.5
0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5396825396825398,0.78125,0.3484162895927603,0.35001446370643424,DeepConvNet,DeepConvNet,Motor Imaginary,17,0.9611111283302307,0.3333333432674408
0.5,0.34472934472934474,0.5,0.40808080808080816,0.34375,0.17766497461928932,0.1971275775152434,EEGNet,EEGNet,Motor Imaginary,13,0.8611111044883728,0.5
0.5,0.36324786324786323,0.5,0.4191919191919193,0.578125,0.16923076923076918,0.18329939214386665,ShallowConvNet,ShallowConvNet,Motor Imaginary,14,0.9972222447395325,0.5
0.5,0.5740740740740741,0.5,0.5092592592592592,0.375,0.2767857142857142,0.2913400017912105,EEGNet,EEGNet,Motor Imaginary,12,0.7944444417953491,0.4444444477558136
0.5,0.46111111111111114,0.5,0.47953216374269,0.25,0.2534562211981568,0.2571891197751362,DeepConvNet,DeepConvNet,Motor Imaginary,13,0.9833333492279053,0.4444444477558136
0.5,0.34472934472934474,0.5,0.40808080808080816,0.65625,0.17346938775510212,0.1901608823106402,ShallowConvNet,ShallowConvNet,Motor Imaginary,13,0.9972222447395325,0.3888888955116272
0.5,0.28125,0.5,0.36,0.4375,0.07954545454545459,0.11745230966245426,HopefullNet,HopefullNet,Motor Imaginary,11,0.3333333432674408,0.2222222238779068
0.5,0.2647058823529412,0.5,0.3461538461538462,0.46875,0.041420118343195256,0.0805716197153229,HopefullNet,HopefullNet,Motor Imaginary,14,0.36944442987442017,0.1111111119389534
0.4444444444444444,0.4537037037037038,0.4444444444444444,0.4444444444444444,0.40625,0.19282511210762332,0.19369369369369369,DeepConvNet,DeepConvNet,Motor Imaginary,19,0.9777777791023254,0.5555555820465088
0.4444444444444444,0.3611111111111111,0.4444444444444444,0.38941798941798944,0.3125,0.1089108910891089,0.11673099899395244,ShallowConvNet,ShallowConvNet,Motor Imaginary,19,0.9972222447395325,0.5
0.4444444444444444,0.3888888888888889,0.4444444444444444,0.4074074074074074,0.625,0.19282511210762332,0.1972809186981288,EEGNet,EEGNet,Motor Imaginary,14,0.8111110925674438,0.4444444477558136
0.3888888888888889,0.39722222222222225,0.3888888888888889,0.38468720821662,0.390625,0.13913043478260867,0.1428628374396041,EEGNet,EEGNet,Motor Imaginary,19,0.8166666626930237,0.7222222089767456
0.3888888888888889,0.43386243386243384,0.3888888888888889,0.39814814814814814,0.3125,0.16455696202531656,0.1682598265197612,HopefullNet,HopefullNet,Motor Imaginary,19,0.8305555582046509,0.5555555820465088
0.3888888888888889,0.35,0.3888888888888889,0.36842105263157887,0.625,0.08333333333333337,0.08417098465368093,ShallowConvNet,ShallowConvNet,Motor Imaginary,16,0.9833333492279053,0.3888888955116272
0.3888888888888889,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.3125,0.024630541871921263,0.027041648086807344,HopefullNet,HopefullNet,Motor Imaginary,12,0.24166665971279144,0.1666666716337204
0.3333333333333333,0.3793650793650794,0.3333333333333333,0.3442460317460318,0.375,0.08085106382978724,0.0837207521272387,EEGNet,EEGNet,Motor Imaginary,16,0.7805555462837219,0.5
0.3333333333333333,0.27222222222222225,0.3333333333333333,0.29490392648287383,0.484375,0.00917431192660545,0.009637239310932117,DeepConvNet,DeepConvNet,Motor Imaginary,14,0.9916666746139526,0.3333333432674408
0.3333333333333333,0.4722222222222222,0.3333333333333333,0.3888888888888889,0.25,0.11475409836065575,0.12130422381234182,DeepConvNet,DeepConvNet,Motor Imaginary,12,0.9555555582046509,0.2777777910232544
