cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.99,0.9290123456790124,0.9322188855522189,0.9290123456790124,0.9287406509793584,0.5764888390933379,0.8944311436626103,0.8961371957203978,Motor Imaginary,11,PCA,XGB
0.989,0.9907407407407407,0.9911099640096931,0.9907407407407407,0.9907918036784562,0.5618374558303887,0.9865997573618617,0.986707064401349,Motor Imaginary,18,PCA,KNN
0.987,0.9722222222222222,0.974239652957503,0.9722222222222222,0.9724662096075782,0.5506993006993007,0.960067376032209,0.9606549413143248,Motor Imaginary,16,PCA,KNN
0.984,0.9660493827160493,0.9666340771413235,0.9660493827160493,0.9661707656035391,0.5531759027837628,0.9506992571689422,0.9507662409369592,Motor Imaginary,19,PCA,SVM
0.984,0.9475308641975309,0.9503944393051701,0.9475308641975309,0.9482578488514032,0.5411531500474015,0.9238037268111832,0.9240985344927308,Motor Imaginary,13,PCA,SVM
0.984,0.9290123456790124,0.9298775005334865,0.9290123456790124,0.928590853178091,0.5659771126760563,0.895306199862319,0.8959909771884375,Motor Imaginary,10,PCA,XGB
0.982,0.9351851851851852,0.9403641464678871,0.9351851851851852,0.9357872256563919,0.5120537357379462,0.907718598689832,0.9094239906201799,Motor Imaginary,16,PCA,SVM
0.975,0.9475308641975309,0.9493830592128812,0.9475308641975309,0.9476916936355129,0.558303886925795,0.9242834559076225,0.9247171573229772,Motor Imaginary,12,PCA,SVM
0.974,0.9228395061728395,0.9230359147025814,0.9228395061728395,0.9224980790626087,0.5388295914611705,0.8877618889258397,0.8879218357061313,Motor Imaginary,17,PCA,SVM
0.973,0.941358024691358,0.9447120943185757,0.941358024691358,0.9415136621609571,0.5340909090909091,0.9163677861102054,0.9177446784353123,Motor Imaginary,17,PCA,KNN
0.959,0.8950617283950617,0.8973779306567687,0.8950617283950617,0.895533121619094,0.5313305115936695,0.8493600262553331,0.8499625765080682,Motor Imaginary,14,PCA,SVM
0.951,0.9104938271604939,0.9163810022970912,0.9104938271604939,0.9111259650642674,0.5208566749978454,0.8732206225628432,0.8753989996577026,Motor Imaginary,11,PCA,KNN
0.941,0.8055555555555556,0.8123301902270381,0.8055555555555556,0.8071544573630177,0.48164267861759885,0.7236692478475117,0.7251764447572652,Motor Imaginary,11,PCA,SVM
0.9,0.75,0.7638083662494418,0.75,0.7540542489297278,0.5055017605633803,0.6476558724021266,0.6500146038405459,Motor Imaginary,10,PCA,SVM
0.842,0.5617283950617284,0.6720057731290275,0.5617283950617284,0.5643315350709867,0.3966109154929578,0.44142000339946097,0.46775924831199533,Motor Imaginary,10,PCA,KNN
0.827,0.6080246913580247,0.616914016229891,0.6080246913580247,0.6109136614480487,0.534301473756787,0.4336755759861268,0.4342501109939537,Motor Imaginary,12,time domain features -> wavelet,XGB
0.791,0.6666666666666666,0.6800369790780868,0.6666666666666666,0.6718774027460449,0.6337585107299836,0.5231658127112178,0.5240529537163918,Motor Imaginary,18,time domain features -> wavelet,XGB
0.781,0.5493827160493827,0.5782120199967975,0.5493827160493827,0.5599525012194945,0.5716194087735931,0.3699184826042943,0.3721818665315253,Motor Imaginary,15,time domain features -> wavelet,XGB
0.764,0.4876543209876543,0.5095804677076875,0.4876543209876543,0.4965388100732934,0.5864431612514005,0.27428756476683946,0.2752772523482434,Motor Imaginary,19,time domain features -> wavelet,XGB
0.718,0.48148148148148145,0.5089802160585636,0.48148148148148145,0.49221207145200346,0.5886839610445573,0.2739108395806099,0.27538296270699425,Motor Imaginary,13,time domain features -> wavelet,XGB
0.707,0.4351851851851852,0.46828017149675666,0.4351851851851852,0.44761902312860546,0.5533676849466322,0.21619120640879885,0.2180280711381138,Motor Imaginary,16,time domain features -> wavelet,XGB
0.652,0.3950617283950617,0.40870807099965856,0.3950617283950617,0.40049818407622617,0.576048951048951,0.13930226884606,0.13971078969541148,Motor Imaginary,14,time domain features -> wavelet,XGB
0.65,0.4166666666666667,0.435242801533839,0.4166666666666667,0.42387495987549795,0.5564041221935958,0.17538378669539456,0.1761079656664542,Motor Imaginary,17,time domain features -> wavelet,XGB
0.65,0.4166666666666667,0.40420075111244946,0.4166666666666667,0.4091990893985196,0.5531759027837628,0.13099748818595935,0.1313436413269831,Motor Imaginary,11,time domain features -> wavelet,XGB
0.567,0.35802469135802467,0.3402932098765432,0.35802469135802467,0.3477613505200626,0.4900088028169015,0.03979482795469125,0.03994724775664364,Motor Imaginary,10,time domain features -> wavelet,XGB
0.501,0.5740740740740741,0.5932100243023486,0.5740740740740741,0.5779795428763582,0.5724381625441697,0.3948597182183605,0.397876735804705,Motor Imaginary,18,time domain features -> wavelet,SVM
0.497,0.4783950617283951,0.5429959249489122,0.4783950617283951,0.5019312211454281,0.6319486339739722,0.2870219664318546,0.2911387859939195,Motor Imaginary,18,time domain features -> wavelet,KNN
0.481,0.3765432098765432,0.46780050742209495,0.3765432098765432,0.39772003276497186,0.5147806601740929,0.18784900603082422,0.19604809959280362,Motor Imaginary,12,time domain features -> wavelet,KNN
0.475,0.4166666666666667,0.4629520465429964,0.4166666666666667,0.4317149322706971,0.5471429802637249,0.19453871044116489,0.19766588827325315,Motor Imaginary,15,time domain features -> wavelet,SVM
0.459,0.35802469135802467,0.442073378630228,0.35802469135802467,0.38165619783266846,0.5637335171938291,0.1517043451991339,0.15673640986205506,Motor Imaginary,15,time domain features -> wavelet,KNN
0.422,0.24074074074074073,0.32175846786957896,0.24074074074074073,0.2539079419795256,0.44865660655134343,0.03224866440019425,0.03420967821133036,Motor Imaginary,16,time domain features -> wavelet,KNN
0.393,0.3888888888888889,0.4171034892405548,0.3888888888888889,0.3945780982481223,0.565112470912695,0.15067586352984785,0.1537268110735972,Motor Imaginary,19,time domain features -> wavelet,SVM
0.39,0.43209876543209874,0.4606509889777086,0.43209876543209874,0.43864085595227725,0.6078169438938206,0.19438926500993237,0.19678827839241536,Motor Imaginary,12,time domain features -> wavelet,SVM
0.388,0.36419753086419754,0.4266258774030621,0.36419753086419754,0.38713434288064347,0.6116521589244162,0.13192087088844662,0.13422007896074464,Motor Imaginary,13,time domain features -> wavelet,SVM
0.38,0.36728395061728397,0.4964073420863545,0.36728395061728397,0.4025683062326088,0.5519693182797552,0.17894580696202522,0.1875363156785064,Motor Imaginary,19,time domain features -> wavelet,KNN
0.377,0.24691358024691357,0.34546621780489206,0.24691358024691357,0.267235085444962,0.48733086270792036,0.04022144253299176,0.04264950269277342,Motor Imaginary,11,time domain features -> wavelet,KNN
0.376,0.4012345679012346,0.424701375619025,0.4012345679012346,0.40961939262518354,0.5437523003312478,0.15367111446229254,0.154673687591178,Motor Imaginary,17,time domain features -> wavelet,SVM
0.366,0.3333333333333333,0.3635891885278121,0.3333333333333333,0.34173088222132636,0.49599742362900257,0.08626339909388836,0.0875203402284075,Motor Imaginary,16,time domain features -> wavelet,SVM
0.364,0.4691358024691358,0.45805107312539173,0.4691358024691358,0.46024865490504924,0.5998448677066277,0.21172343555505257,0.21259414965985104,Motor Imaginary,11,time domain features -> wavelet,SVM
0.362,0.4351851851851852,0.36119170255330924,0.4351851851851852,0.37113547653232365,0.510475352112676,0.03302509907529727,0.037485773043764395,Motor Imaginary,10,time domain features -> wavelet,SVM
0.361,0.2839506172839506,0.3849701380019676,0.2839506172839506,0.3117313315702677,0.58364004416636,0.06634040914680339,0.06948081415291514,Motor Imaginary,14,time domain features -> wavelet,KNN
0.358,0.2654320987654321,0.36748950537228975,0.2654320987654321,0.287221270470353,0.4461722488038278,0.05887521968365539,0.062289133312529374,Motor Imaginary,17,time domain features -> wavelet,KNN
0.357,0.24691358024691357,0.32954073561740466,0.24691358024691357,0.26461443828167497,0.46205985915492964,0.028951150307690354,0.030586744316624476,Motor Imaginary,10,time domain features -> wavelet,KNN
0.356,0.27469135802469136,0.3787603063087165,0.27469135802469136,0.2979992873413978,0.5380505041799535,0.07011394584824304,0.07423351817428314,Motor Imaginary,13,time domain features -> wavelet,KNN
0.354,0.32098765432098764,0.35242545852708557,0.32098765432098764,0.32996054153638005,0.5426021347073978,0.053876478318002574,0.054970645024934324,Motor Imaginary,14,time domain features -> wavelet,SVM
