acc_test,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_name,model,dataset,subject,acc_train,acc_val
1.0,1.0,1.0,1.0,0.5664335664335665,1.0,1.0,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,16,1.0,1.0
1.0,1.0,1.0,1.0,0.5704225352112676,1.0,1.0,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,18,0.999382734298706,1.0
1.0,1.0,1.0,1.0,0.5704225352112676,1.0,1.0,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,15,0.9990741014480591,0.9938271641731262
1.0,1.0,1.0,1.0,0.5704225352112676,1.0,1.0,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,12,0.9925925731658936,0.9876543283462524
0.9938271604938271,0.9941077441077442,0.9938271604938271,0.9938797673883618,0.5633802816901409,0.9910507126284388,0.9911107287119288,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,11,0.9987654089927673,0.9629629850387573
0.9876543209876543,0.9877295995182174,0.9876543209876543,0.9875941171101361,0.5952464788732394,0.9819809799232523,0.9820414336571174,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,13,1.0,0.9876543283462524
0.9876543209876543,0.9879482657260434,0.9876543209876543,0.9876504605501896,0.573943661971831,0.9820419022281344,0.9820963376319748,Transformer,Transformer,Motor Imaginary,18,0.989506185054779,0.9876543283462524
0.9814814814814815,0.9819259832809968,0.9814814814814815,0.981304923308265,0.5774647887323944,0.9729744758938998,0.973142604332479,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,19,0.9888888597488403,1.0
0.9814814814814815,0.9816849046015712,0.9814814814814815,0.9814957477579656,0.5594405594405594,0.9731491712707182,0.9732081103556146,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,14,0.9990741014480591,0.9629629850387573
0.9691358024691358,0.9698512906846241,0.9691358024691358,0.969259142972154,0.5633802816901409,0.9552535631421942,0.9553643651310443,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,10,0.9873456954956055,0.9814814925193787
0.9691358024691358,0.9697236919459142,0.9691358024691358,0.9688761681825737,0.5874125874125874,0.954639637117097,0.955066978671406,Transformer Pos Enc,Transformer Pos Enc,Motor Imaginary,17,0.989814817905426,0.9814814925193787
0.691358024691358,0.7484825650852286,0.691358024691358,0.7011778007169317,0.4607394366197183,0.58307597282273,0.5967904552825635,Transformer,Transformer,Motor Imaginary,15,0.6891975402832031,0.14814814925193787
0.6296296296296297,0.6639876213950289,0.6296296296296297,0.6350089780638253,0.4561619718309859,0.48909329829172143,0.49688022943643356,Transformer,Transformer,Motor Imaginary,12,0.45802468061447144,0.46296295523643494
0.41358024691358025,0.4710464419693934,0.41358024691358025,0.38412003248180016,0.4906146485093853,0.1212242334265975,0.1262358688980336,Transformer,Transformer,Motor Imaginary,17,0.27654320001602173,0.3086419701576233
0.3333333333333333,0.422368085365989,0.3333333333333333,0.35517421092497836,0.38847994111151996,0.10520124789034946,0.11108305455393917,Transformer,Transformer,Motor Imaginary,14,0.23950617015361786,0.29629629850387573
0.25925925925925924,0.4229697541000223,0.25925925925925924,0.266669404067778,0.5721830985915493,0.08241291418861507,0.0993920707648225,Transformer,Transformer,Motor Imaginary,10,0.20617283880710602,0.1419753134250641
0.22839506172839505,0.3445927153153401,0.22839506172839505,0.2545926721852648,0.6316901408450705,0.01741957397253624,0.018865938878773088,Transformer,Transformer,Motor Imaginary,19,0.21049383282661438,0.12345679104328156
0.19135802469135801,0.2739095971116567,0.19135802469135801,0.19342504916355022,0.46637323943661974,0.007714967036050013,0.008493398979252276,Transformer,Transformer,Motor Imaginary,11,0.20709876716136932,0.12345679104328156
0.18518518518518517,0.21091473626487633,0.18518518518518517,0.110831022640373,0.38847994111152007,0.05526838966202785,0.07681584881743768,Transformer,Transformer,Motor Imaginary,16,0.26327160000801086,0.1358024626970291
0.13580246913580246,0.25033178596086947,0.13580246913580246,0.08180362617181425,0.4595070422535212,0.005960729312763036,0.008318233064027743,Transformer,Transformer,Motor Imaginary,13,0.22345678508281708,0.15432098507881165
