Model,Accuracy
Transformer Pos Enc,1.0
Transformer Pos Enc,1.0
Transformer Pos Enc,1.0
Transformer Pos Enc,1.0
PCA + KNN| subjc: 12,1.0
PCA + XGB| subjc: 16,1.0
PCA + XGB| subjc: 15,0.9969135802469136
Transformer Pos Enc,0.9938271604938272
PCA + KNN| subjc: 14,0.9938271604938272
PCA + KNN| subjc: 19,0.9938271604938272
PCA + XGB| subjc: 12,0.9938271604938272
PCA + KNN| subjc: 15,0.9938271604938272
PCA + XGB| subjc: 19,0.9907407407407408
PCA + KNN| subjc: 18,0.9907407407407408
PCA + XGB| subjc: 17,0.9907407407407408
Transformer,0.9876543209876544
PCA + SVM| subjc: 15,0.9876543209876544
Transformer Pos Enc,0.9876543209876544
PCA + XGB| subjc: 18,0.984567901234568
PCA + SVM| subjc: 18,0.984567901234568
PCA + KNN| subjc: 13,0.9814814814814816
PCA + XGB| subjc: 13,0.9814814814814816
Transformer Pos Enc,0.9814814814814816
Transformer Pos Enc,0.9814814814814816
PCA + KNN| subjc: 16,0.9722222222222222
PCA + XGB| subjc: 14,0.9722222222222222
Transformer Pos Enc,0.9691358024691358
Transformer Pos Enc,0.9691358024691358
PCA + SVM| subjc: 19,0.9660493827160492
PCA + SVM| subjc: 12,0.9475308641975309
PCA + SVM| subjc: 13,0.9475308641975309
PCA + KNN| subjc: 17,0.941358024691358
PCA + SVM| subjc: 16,0.9351851851851852
PCA + XGB| subjc: 10,0.9290123456790124
PCA + XGB| subjc: 11,0.9290123456790124
PCA + SVM| subjc: 17,0.9228395061728396
PCA + KNN| subjc: 11,0.910493827160494
PCA + SVM| subjc: 14,0.8950617283950617
DeepConvNet,0.8333333333333334
PCA + SVM| subjc: 11,0.8055555555555556
EEGNet,0.7777777777777778
PCA + SVM| subjc: 10,0.75
HopefullNet,0.7222222222222222
HopefullNet,0.7222222222222222
EEGNet,0.7222222222222222
Transformer,0.691358024691358
ShallowConvNet,0.6666666666666666
TmFq + Wvl + XGB| subjc: 18,0.6666666666666666
DeepConvNet,0.6666666666666666
Transformer,0.6296296296296297
EEGNet,0.6111111111111112
ShallowConvNet,0.6111111111111112
ShallowConvNet,0.6111111111111112
ShallowConvNet,0.6111111111111112
TmFq + Wvl + XGB| subjc: 12,0.6080246913580247
TmFq + Wvl + SVM| subjc: 18,0.5740740740740741
PCA + KNN| subjc: 10,0.5617283950617284
DeepConvNet,0.5555555555555556
ShallowConvNet,0.5555555555555556
TmFq + Wvl + XGB| subjc: 15,0.5493827160493827
EEGNet,0.5
ShallowConvNet,0.5
EEGNet,0.5
DeepConvNet,0.5
ShallowConvNet,0.5
HopefullNet,0.5
HopefullNet,0.5
TmFq + Wvl + XGB| subjc: 19,0.4876543209876543
TmFq + Wvl + XGB| subjc: 13,0.4814814814814814
TmFq + Wvl + KNN| subjc: 18,0.4783950617283951
TmFq + Wvl + SVM| subjc: 11,0.4691358024691358
ShallowConvNet,0.4444444444444444
DeepConvNet,0.4444444444444444
EEGNet,0.4444444444444444
TmFq + Wvl + XGB| subjc: 16,0.4351851851851852
TmFq + Wvl + SVM| subjc: 10,0.4351851851851852
TmFq + Wvl + SVM| subjc: 12,0.4320987654320987
TmFq + Wvl + XGB| subjc: 11,0.4166666666666667
TmFq + Wvl + SVM| subjc: 15,0.4166666666666667
TmFq + Wvl + XGB| subjc: 17,0.4166666666666667
Transformer,0.4135802469135802
TmFq + Wvl + SVM| subjc: 17,0.4012345679012346
TmFq + Wvl + XGB| subjc: 14,0.3950617283950617
HopefullNet,0.3888888888888889
EEGNet,0.3888888888888889
HopefullNet,0.3888888888888889
TmFq + Wvl + SVM| subjc: 19,0.3888888888888889
ShallowConvNet,0.3888888888888889
TmFq + Wvl + KNN| subjc: 12,0.3765432098765432
TmFq + Wvl + KNN| subjc: 19,0.3672839506172839
TmFq + Wvl + SVM| subjc: 13,0.3641975308641975
TmFq + Wvl + KNN| subjc: 15,0.3580246913580246
TmFq + Wvl + XGB| subjc: 10,0.3580246913580246
Transformer,0.3333333333333333
TmFq + Wvl + SVM| subjc: 16,0.3333333333333333
DeepConvNet,0.3333333333333333
EEGNet,0.3333333333333333
DeepConvNet,0.3333333333333333
TmFq + Wvl + SVM| subjc: 14,0.3209876543209876
TmFq + Wvl + KNN| subjc: 14,0.2839506172839506
ShallowConvNet,0.2777777777777778
EEGNet,0.2777777777777778
EEGNet,0.2777777777777778
TmFq + Wvl + KNN| subjc: 13,0.2746913580246913
TmFq + Wvl + KNN| subjc: 17,0.2654320987654321
Transformer,0.2592592592592592
TmFq + Wvl + KNN| subjc: 10,0.2469135802469135
TmFq + Wvl + KNN| subjc: 11,0.2469135802469135
TmFq + Wvl + KNN| subjc: 16,0.2407407407407407
Transformer,0.228395061728395
DeepConvNet,0.2222222222222222
DeepConvNet,0.2222222222222222
Transformer,0.191358024691358
Transformer,0.1851851851851851
DeepConvNet,0.1666666666666666
Transformer,0.1358024691358024
HopefullNet,0.1111111111111111
HopefullNet,0.1111111111111111
HopefullNet,0.1111111111111111
HopefullNet,0.0555555555555555
