cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.708,0.20415879017013233,0.4033376716478762,0.20415879017013233,0.21183688931644576,0.5015079301237448,0.04665524687523859,0.05298031027323043,Motor Imaginary,All,PCA,KNN
0.677,0.4048069133135296,0.410419730970714,0.4048069133135296,0.40734240099570235,0.5707577524836103,0.14185013281146663,0.14193162042255422,Motor Imaginary,All,PCA,XGB
0.391,0.3629489603024575,0.44775943803043594,0.3629489603024575,0.38629737543948967,0.5500134068026117,0.1595447209226809,0.16496252083744967,Motor Imaginary,All,PCA,SVM
0.384,0.3940048609235755,0.3336972699541897,0.3940048609235755,0.35576391265738894,0.5209427663596509,0.032726869753469945,0.033866368639399215,Motor Imaginary,All,time domain features -> wavelet,XGB
0.314,0.3548474210099919,0.3266193201003279,0.3548474210099919,0.33768116384677715,0.512881591119334,0.020961885709808392,0.021154510842304707,Motor Imaginary,All,time domain features -> wavelet,SVM
0.303,0.3140696732379152,0.3228360237269475,0.3140696732379152,0.31792657523808543,0.5148993149123866,0.012733792424719281,0.01275388933730191,Motor Imaginary,All,time domain features -> wavelet,KNN
