cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.961,0.5833333333333334,0.51996151996152,0.5833333333333334,0.5371632996632996,0.6322580645161291,0.35637663885578075,0.36694989795737604,Motor Imaginary,15,PCA,SVM
0.956,0.6666666666666666,0.6148148148148147,0.6666666666666666,0.6368745938921377,0.7806451612903226,0.49942062572421786,0.5051328527457966,Motor Imaginary,18,PCA,SVM
0.95,0.6111111111111112,0.6228894335511983,0.6111111111111112,0.6117216117216117,0.7903225806451613,0.4406215316315205,0.4435823411535573,Motor Imaginary,18,PCA,XGB
0.947,0.5555555555555556,0.4841269841269841,0.5555555555555556,0.4757380568974772,0.5774193548387097,0.23607427055702912,0.2695423180587601,Motor Imaginary,13,PCA,SVM
0.942,0.3333333333333333,0.3587962962962963,0.3333333333333333,0.34411764705882353,0.4903225806451613,0.060869565217391286,0.06142138222518112,Motor Imaginary,12,PCA,SVM
0.928,0.4722222222222222,0.3361111111111111,0.4722222222222222,0.3730158730158731,0.632258064516129,0.06172839506172845,0.07717663324848875,Motor Imaginary,19,PCA,SVM
0.922,0.4722222222222222,0.44285714285714284,0.4722222222222222,0.45398428731762064,0.567741935483871,0.2348993288590605,0.23837793261728493,Motor Imaginary,13,PCA,XGB
0.919,0.5555555555555556,0.4586182336182336,0.5555555555555556,0.4844476511143179,0.5859375,0.2671755725190841,0.2917848905150995,Motor Imaginary,17,PCA,SVM
0.914,0.4444444444444444,0.30257936507936506,0.4444444444444444,0.35695115405260336,0.7419354838709677,0.04509283819628651,0.05148561131459463,Motor Imaginary,11,PCA,SVM
0.908,0.4722222222222222,0.4351851851851852,0.4722222222222222,0.4502442002442002,0.5967741935483871,0.19623971797884832,0.19891103493373316,Motor Imaginary,11,PCA,XGB
0.906,0.4722222222222222,0.4061996779388084,0.4722222222222222,0.4317411924119241,0.56640625,0.1709090909090908,0.17589581658614944,Motor Imaginary,14,PCA,XGB
0.903,0.4722222222222222,0.4710239651416122,0.4722222222222222,0.4634920634920634,0.7741935483870969,0.24669603524229078,0.25339950201107736,Motor Imaginary,15,PCA,XGB
0.903,0.4444444444444444,0.33134920634920634,0.4444444444444444,0.3796296296296296,0.46484375,0.1089108910891089,0.11464593857560589,Motor Imaginary,14,PCA,SVM
0.894,0.5,0.5078460038986354,0.5,0.4995095203428537,0.52734375,0.2611174458380844,0.2623636092265712,Motor Imaginary,17,PCA,XGB
0.894,0.4166666666666667,0.3055555555555556,0.4166666666666667,0.3413848631239936,0.640625,0.0,0.0,Motor Imaginary,16,PCA,SVM
0.894,0.2222222222222222,0.26666666666666666,0.2222222222222222,0.2424242424242424,0.6484375,-0.08154506437768227,-0.0825657850808573,Motor Imaginary,10,PCA,XGB
0.892,0.4166666666666667,0.37037037037037046,0.4166666666666667,0.39204914643511135,0.5870967741935483,0.12296983758700686,0.1242322097240242,Motor Imaginary,19,PCA,XGB
0.889,0.4722222222222222,0.36182336182336183,0.4722222222222222,0.4054834054834055,0.33870967741935487,0.1286624203821657,0.13985485987527235,Motor Imaginary,12,PCA,XGB
0.881,0.19444444444444445,0.2048611111111111,0.19444444444444445,0.1978381096028155,0.4375,-0.13973799126637543,-0.14145589558481125,Motor Imaginary,10,PCA,SVM
0.867,0.4722222222222222,0.5307840307840308,0.4722222222222222,0.48587962962962966,0.7516129032258065,0.280757097791798,0.29538940732664115,Motor Imaginary,15,PCA,KNN
0.864,0.2222222222222222,0.2654320987654321,0.2222222222222222,0.23859126984126988,0.535483870967742,-0.06553911205074003,-0.0678570955730601,Motor Imaginary,19,PCA,KNN
