acc_test,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_name,model,dataset,subject,acc_train,acc_val
0.8333333333333334,0.8703703703703703,0.8333333333333334,0.8407407407407408,0.78125,0.7567567567567568,0.760188777796001,EEGNet,EEGNet,Motor Imaginary,18,0.875,0.6666666865348816
0.7777777777777778,0.7053872053872055,0.7777777777777778,0.7277777777777777,0.765625,0.6555023923444976,0.674198229699804,HopefullNet,HopefullNet,Motor Imaginary,18,0.9944444298744202,0.5555555820465088
0.7777777777777778,0.8518518518518519,0.7777777777777778,0.7856481481481482,0.6875,0.6949152542372881,0.7104961680437163,DeepConvNet,DeepConvNet,Motor Imaginary,18,0.9972222447395325,0.4444444477558136
0.6666666666666666,0.7611111111111111,0.6666666666666666,0.6710526315789473,0.75,0.5023041474654377,0.5147238903116067,ShallowConvNet,ShallowConvNet,Motor Imaginary,18,1.0,0.6111111044883728
0.6666666666666666,0.7037037037037037,0.6666666666666666,0.6777777777777778,0.59375,0.5156950672645739,0.5180180180180181,EEGNet,EEGNet,Motor Imaginary,15,0.8638888597488403,0.5
0.6111111111111112,0.547979797979798,0.6111111111111112,0.5722222222222223,0.9375,0.3971291866028708,0.4041334558854976,HopefullNet,HopefullNet,Motor Imaginary,15,0.9722222089767456,0.5555555820465088
0.6111111111111112,0.43253968253968256,0.6111111111111112,0.5024154589371981,0.6875,0.32978723404255317,0.3798608880818007,ShallowConvNet,ShallowConvNet,Motor Imaginary,17,0.980555534362793,0.4444444477558136
0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5925925925925927,0.734375,0.43497757847533636,0.4409273114223912,DeepConvNet,DeepConvNet,Motor Imaginary,15,0.9861111044883728,0.3888888955116272
0.5555555555555556,0.48888888888888893,0.5555555555555556,0.48148148148148157,0.65625,0.21311475409836078,0.2671483543712056,ShallowConvNet,ShallowConvNet,Motor Imaginary,15,0.9972222447395325,0.6111111044883728
0.5555555555555556,0.6111111111111112,0.5555555555555556,0.5383597883597884,0.515625,0.29064039408866993,0.3055068016172567,HopefullNet,HopefullNet,Motor Imaginary,19,0.9750000238418579,0.6111111044883728
0.5555555555555556,0.46666666666666656,0.5555555555555556,0.4583333333333333,0.40625,0.20879120879120872,0.2630529536631341,ShallowConvNet,ShallowConvNet,Motor Imaginary,11,0.9888888597488403,0.5
