cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.719,0.2246826897110451,0.43507078371620106,0.2246826897110451,0.2467106603261795,0.519901057796726,0.05952739436161203,0.06644973346446177,Motor Imaginary,All subjects,PCA,KNN
0.665,0.4080475290305158,0.4169780342157075,0.4080475290305158,0.41227459308554076,0.5859479950126695,0.14839213819988206,0.14847291609862814,Motor Imaginary,All subjects,PCA,XGB
0.401,0.4504455846610856,0.32360020628661623,0.4504455846610856,0.35397084451580396,0.5144397967528723,0.020305161816732142,0.02534041509869644,Motor Imaginary,All subjects,time domain features -> wavelet,XGB
0.358,0.3588981906562247,0.4402610641293544,0.3588981906562247,0.38624872244465125,0.5691013420209414,0.14357605713180677,0.14716497250554328,Motor Imaginary,All subjects,PCA,SVM
0.345,0.34458547123953553,0.32502184640126464,0.34458547123953553,0.3332472906238027,0.5214911045864672,0.021345711294849967,0.02144961424840815,Motor Imaginary,All subjects,time domain features -> wavelet,SVM
0.277,0.31001890359168244,0.3148745567099521,0.31001890359168244,0.31186769714341495,0.515006904503345,0.0034249100454196713,0.003431157073808378,Motor Imaginary,All subjects,time domain features -> wavelet,KNN
