cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.894,0.761996938867381,0.8191190037703977,0.761996938867381,0.7629213337087972,0.42542064851844885,0.6842141108954034,0.7041286820442649,Motor Imaginary,All subjects,PCA,KNN
0.625,0.5215629783019717,0.5638778042549935,0.5215629783019717,0.5352152264809782,0.5467453400562203,0.34324129990059415,0.34737042884557023,Motor Imaginary,All subjects,PCA,XGB
0.344,0.3781849284235167,0.4558394602658363,0.3781849284235167,0.4018705489627892,0.5533002945711002,0.1711740619847213,0.17589879427455526,Motor Imaginary,All subjects,PCA,SVM
0.335,0.3876834428738633,0.3535771321906274,0.3876834428738633,0.36714728015299747,0.5217491522569205,0.06017647529134884,0.060872553921964605,Motor Imaginary,All subjects,time domain features -> wavelet,XGB
0.294,0.27145043666156476,0.3378000855936801,0.27145043666156476,0.2927115392358722,0.5094379376986269,0.03122084811438286,0.032136995688626394,Motor Imaginary,All subjects,time domain features -> wavelet,KNN
0.27,0.2436301431529666,0.31416628992723267,0.2436301431529666,0.26556341152634866,0.505273440283611,-9.526691286887434e-05,-9.869009108862402e-05,Motor Imaginary,All subjects,time domain features -> wavelet,SVM
