cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.844,0.7916666666666666,0.7997291021671826,0.7916666666666666,0.7918676442214934,0.7960372960372961,0.5852534562211982,0.5909278263416963,BCICIV_II,A04T,XdawnCovariances -> TangentSpace,SVM
0.82,0.77,0.7760227272727271,0.77,0.7691929824561404,0.7713085234093637,0.5411013567438148,0.5464572719949387,BCICIV_I,BCICIV_calib_ds1a,XdawnCovariances -> TangentSpace,SVM
0.816,0.6944444444444444,0.7041569541569542,0.6944444444444444,0.6944444444444444,0.6993006993006993,0.3931034482758621,0.3986013986013986,BCICIV_II,A04T,XdawnCovariances -> TangentSpace,KNN
0.8,0.7,0.7005602240896358,0.7,0.7,0.700280112044818,0.4002399040383847,0.4005602240896359,BCICIV_I,BCICIV_calib_ds1b,XdawnCovariances -> TangentSpace,SVM
0.789,0.7222222222222222,0.7386572252819303,0.7222222222222222,0.7213642213642213,0.7296037296037297,0.45080091533180777,0.4620887891829862,BCICIV_II,A04T,XdawnCovariances -> TangentSpace,XGB
0.769,0.6265060240963856,0.6592250991543815,0.6265060240963856,0.6260966564248658,0.45344129554655876,0.49696969696969706,0.5051726774777561,eeg-mi,S041,XdawnCovariances -> TangentSpace,SVM
0.768,0.4939759036144578,0.5984093425953891,0.4939759036144578,0.4908626141287253,0.541497975708502,0.3400227186671715,0.3766110637095229,eeg-mi,S041,XdawnCovariances -> TangentSpace,KNN
0.75,0.68,0.6805442176870747,0.68,0.68,0.6802721088435375,0.3602558976409437,0.36054421768707484,BCICIV_I,BCICIV_calib_ds1d,XdawnCovariances -> TangentSpace,XGB
0.744,0.6888888888888889,0.7010633720572869,0.6888888888888889,0.6842170550866203,0.3384166125892278,0.5857988165680472,0.5916374116397134,eeg-mi,S038,XdawnCovariances -> TangentSpace,XGB
0.73,0.64,0.6405122048819527,0.64,0.64,0.6402561024409763,0.2802878848460616,0.2805122048819528,BCICIV_I,BCICIV_calib_ds1b,XdawnCovariances -> TangentSpace,KNN
0.722,0.6111111111111112,0.6514529914529915,0.6111111111111112,0.6209994683678894,0.463659961064244,0.48241866579033854,0.48754953785705235,eeg-mi,S022,XdawnCovariances -> TangentSpace,XGB
0.72,0.84,0.8547168251343531,0.84,0.8387117552334945,0.841936774709884,0.6811478676763651,0.6950899359067992,BCICIV_I,BCICIV_calib_ds1g,XdawnCovariances -> TangentSpace,SVM
0.711,0.6666666666666666,0.6894004702194357,0.6666666666666666,0.6662985120417241,0.4029850746268657,0.555848001316006,0.5614882975037394,eeg-mi,S022,XdawnCovariances -> TangentSpace,SVM
0.711,0.5777777777777777,0.5981099887766554,0.5777777777777777,0.5796016804654678,0.3526930564568462,0.4387922546767312,0.4424222611516359,eeg-mi,S038,XdawnCovariances -> TangentSpace,SVM
0.71,0.85,0.8538244766505636,0.85,0.8497747973175859,0.8509403761504601,0.700479233226837,0.7039967678111115,BCICIV_I,BCICIV_calib_ds1g,XdawnCovariances -> TangentSpace,XGB
0.71,0.77,0.7722727272727272,0.77,0.7691910360767761,0.7689075630252101,0.5388933440256616,0.5416213669330365,BCICIV_I,BCICIV_calib_ds1f,XdawnCovariances -> TangentSpace,SVM
0.71,0.68,0.68,0.68,0.68,0.6798719487795118,0.3597438975590236,0.3597438975590236,BCICIV_I,BCICIV_calib_ds1b,XdawnCovariances -> TangentSpace,XGB
