cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.51,0.56,0.5596767676767677,0.56,0.5589401846647932,0.5590236094437776,0.11823647294589179,0.1186181882110676,BCICIV_I,BCICIV_calib_ds1c,time domain features -> wavelet,SVM
0.5,0.6888888888888889,0.6901794716676749,0.6888888888888889,0.6840145665412278,0.5438027255029202,0.5844327176781003,0.5876323928851005,eeg-mi,S017,time domain features -> wavelet,XGB
0.496,0.5214285714285715,0.5189241311336248,0.5214285714285715,0.4986687807962599,0.515359477124183,0.031071812246921682,0.033935076651612016,BCICIV_I,all,time domain features -> wavelet,SVM
0.49,0.52,0.5191187270501836,0.52,0.5176811594202898,0.5186074429771909,0.03730445246690728,0.037577524347545466,BCICIV_I,BCICIV_calib_ds1b,time domain features -> wavelet,SVM
0.489,0.5333333333333333,0.5432551085568327,0.5333333333333333,0.5173251626081815,0.30856586632057104,0.3824538474105539,0.3926924499163319,eeg-mi,S015,time domain features -> wavelet,XGB
0.489,0.3888888888888889,0.4060317460317461,0.3888888888888889,0.3911689044785878,0.2874756651524984,0.17910447761194026,0.18159828845540663,eeg-mi,S018,time domain features -> wavelet,SVM
0.486,0.5833333333333334,0.5855212355212355,0.5833333333333334,0.5839783281733746,0.5827505827505828,0.16473317865429227,0.1649891730430431,BCICIV_II,A04T,time domain features -> wavelet,SVM
0.478,0.6222222222222222,0.6164273504273504,0.6222222222222222,0.6070861678004534,0.41109669046073977,0.4979491386382281,0.5039893894401068,eeg-mi,S033,time domain features -> wavelet,XGB
0.478,0.5444444444444444,0.5429307568438003,0.5444444444444444,0.5350392521708311,0.4513303049967553,0.39388961892247043,0.3983425856343146,eeg-mi,S032,time domain features -> wavelet,XGB
0.47,0.54,0.5404321728691477,0.54,0.54,0.5402160864345739,0.0803678528588565,0.08043217286914765,BCICIV_I,BCICIV_calib_ds1b,time domain features -> wavelet,XGB
0.466,0.3253012048192771,0.33370971809945094,0.3253012048192771,0.3190336352085974,0.5775978407557355,0.09905020352781546,0.10080916955751541,eeg-mi,S041,time domain features -> wavelet,SVM
0.459,0.3958333333333333,0.402758261377213,0.3958333333333333,0.3935622365909009,0.535501489572989,0.19769452449567726,0.19988654897394192,BCICIV_II,A05T,time domain features -> wavelet,XGB
0.45,0.59,0.5929545454545455,0.59,0.5885614035087718,0.5912364945978391,0.18196328810853946,0.18376439235228026,BCICIV_I,BCICIV_calib_ds1a,time domain features -> wavelet,XGB
0.45,0.43,0.42695402298850577,0.43,0.42637967537050103,0.4283713485394157,-0.1436597110754414,-0.14509794331788925,BCICIV_I,BCICIV_calib_ds1b,time domain features -> wavelet,KNN
0.444,0.3111111111111111,0.40982905982905987,0.3111111111111111,0.3123048361644853,0.5648929266709929,0.1074856046065259,0.12328709672908536,eeg-mi,S004,time domain features -> wavelet,KNN
0.433,0.4,0.4480015844721727,0.4,0.40507185838993615,0.4328358208955224,0.21026974325641856,0.2184045537333902,eeg-mi,S034,time domain features -> wavelet,XGB
0.433,0.4111111111111111,0.4287477954144621,0.4111111111111111,0.4036446390104927,0.3760545100584036,0.22109732201175714,0.22678057677175334,eeg-mi,S022,time domain features -> wavelet,XGB
0.433,0.26666666666666666,0.2780086848635236,0.26666666666666666,0.2549082818169176,0.3484750162232316,0.02798232695139924,0.02886180733261957,eeg-mi,S027,time domain features -> wavelet,SVM
0.422,0.43333333333333335,0.4474798106377053,0.43333333333333335,0.4346230760588698,0.4490590525632706,0.24803407601572736,0.2505378432179936,eeg-mi,S025,time domain features -> wavelet,XGB
0.422,0.4444444444444444,0.46578477078477076,0.4444444444444444,0.430918331816594,0.4276443867618429,0.2691245736560013,0.2792880388524067,eeg-mi,S042,time domain features -> wavelet,XGB
0.422,0.4222222222222222,0.416767848261906,0.4222222222222222,0.4131042128603104,0.47793640493186246,0.22912205567451815,0.2315292649581172,eeg-mi,S030,time domain features -> wavelet,XGB
0.422,0.2222222222222222,0.20950796950796952,0.2222222222222222,0.20814555300938167,0.4399740428293316,-0.04512276045122743,-0.04628504957494343,eeg-mi,S004,time domain features -> wavelet,SVM
0.411,0.4777777777777778,0.4945639589169,0.4777777777777778,0.4793664181822076,0.6119402985074627,0.30290046143704674,0.3051149165526917,eeg-mi,S012,time domain features -> wavelet,XGB
0.411,0.4666666666666667,0.4579241445301774,0.4666666666666667,0.4421062297803104,0.2946138870863076,0.2954990215264187,0.3049423187910136,eeg-mi,S028,time domain features -> wavelet,XGB
0.411,0.4444444444444444,0.4457558236970002,0.4444444444444444,0.43038961038961027,0.48150551589876706,0.26205313217448345,0.2678752409397963,eeg-mi,S024,time domain features -> wavelet,XGB
0.411,0.3,0.36847427210000305,0.3,0.29735392486671425,0.41661258922777417,0.08073929961089488,0.08480188635391601,eeg-mi,S037,time domain features -> wavelet,SVM
0.41,0.58,0.5804641856742697,0.58,0.58,0.5802320928371348,0.16033586565373859,0.1604641856742697,BCICIV_I,BCICIV_calib_ds1e,time domain features -> wavelet,KNN
0.4,0.3111111111111111,0.32038719483894923,0.3111111111111111,0.3064518354274452,0.3942245295262816,0.08987114663187079,0.09186689640014292,eeg-mi,S052,time domain features -> wavelet,XGB
0.389,0.4444444444444444,0.46472872303043083,0.4444444444444444,0.44032316941129807,0.5227125243348475,0.26614481409001967,0.27209941002728355,eeg-mi,S038,time domain features -> wavelet,XGB
0.389,0.4111111111111111,0.43576290858899547,0.4111111111111111,0.40395794757344256,0.5081116158338741,0.21739130434782616,0.22218733339903746,eeg-mi,S007,time domain features -> wavelet,SVM
0.389,0.3111111111111111,0.35064750064750067,0.3111111111111111,0.30852510063036376,0.3702141466580143,0.08629441624365486,0.08904044019008253,eeg-mi,S039,time domain features -> wavelet,XGB
0.385,0.4083285135916715,0.4084024592497305,0.4083285135916715,0.4075837029189179,0.4367775910195465,0.21126685824243852,0.2115391839440871,eeg-mi,all,time domain features -> wavelet,XGB
0.378,0.43333333333333335,0.43818342151675477,0.43333333333333335,0.4223074445683141,0.527255029201817,0.2501225289985296,0.2552599244802519,eeg-mi,S010,time domain features -> wavelet,XGB
0.378,0.32222222222222224,0.2931985567623866,0.32222222222222224,0.27977466382904104,0.6557430240103829,0.09510466457886935,0.10316408474588121,eeg-mi,S012,time domain features -> wavelet,KNN
0.378,0.23333333333333334,0.2015204678362573,0.23333333333333334,0.20029588411941354,0.4798831927319922,-0.020542317173377178,-0.022086147315741027,eeg-mi,S027,time domain features -> wavelet,KNN
0.37,0.53,0.5302,0.53,0.53004700470047,0.5300120048019208,0.06000000000000005,0.060012003601200424,BCICIV_I,BCICIV_calib_ds1d,time domain features -> wavelet,SVM
