model_name,cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_runtime,dataset,subject
bandpass -> PSD => SVM,0.581,0.7,0.702020202020202,0.7,0.6992481203007519,0.7,0.4,0.40201512610368484,0:00:00.086479,BCICIV_I,BCICIV_calib_ds1c
STD_Scaler => LDA,0.581,0.575,0.5800000000000001,0.575,0.5682539682539682,0.575,0.15000000000000002,0.15491933384829668,0:00:48.681468,BCICIV_I,BCICIV_calib_ds1a
PSD -> Time Domain Features -> STD_Scaler => SVM,0.581,0.45,0.44791666666666663,0.45,0.4444444444444445,0.45000000000000007,-0.10000000000000009,-0.10206207261596575,0:00:00.023305,BCICIV_I,BCICIV_calib_ds1f
Wavelet -> Time Domain Features => SVM,0.581,0.45,0.4450549450549451,0.45,0.4373401534526854,0.45,-0.10000000000000009,-0.10482848367219183,0:00:00.713958,BCICIV_I,BCICIV_calib_ds1f
Wavelet -> Time Domain Features => KNN,0.575,0.675,0.6790281329923274,0.675,0.6731615336266499,0.675,0.35,0.35400521619692155,0:00:00.008212,BCICIV_I,BCICIV_calib_ds1a
PSD -> Time Domain Features -> STD_Scaler => KNN,0.575,0.65,0.65,0.65,0.65,0.65,0.30000000000000004,0.3,0:00:00.008884,BCICIV_I,BCICIV_calib_ds1f
bandpass -> PSD => SVM,0.562,0.6464285714285715,0.6491761526066844,0.6464285714285715,0.644792988121324,0.6464285714285715,0.2928571428571428,0.2955919546767628,0:00:07.523281,BCICIV_I,all
PSD -> Time Domain Features -> STD_Scaler => SVM,0.562,0.6,0.6,0.6,0.6,0.6,0.19999999999999996,0.2,0:00:00.020215,BCICIV_I,BCICIV_calib_ds1b
STD_Scaler => KNN,0.562,0.55,0.5505050505050505,0.55,0.5488721804511277,0.55,0.09999999999999998,0.10050378152592121,0:00:00.116311,BCICIV_I,BCICIV_calib_ds1a
PSD -> Time Domain Features -> STD_Scaler => SVM,0.562,0.55,0.5505050505050505,0.55,0.5488721804511277,0.5499999999999999,0.09999999999999998,0.10050378152592121,0:00:00.021544,BCICIV_I,BCICIV_calib_ds1a
STD_Scaler => KNN,0.562,0.55,0.554945054945055,0.55,0.5396419437340153,0.55,0.09999999999999998,0.10482848367219183,0:00:00.114106,BCICIV_I,BCICIV_calib_ds1g
Wavelet -> Time Domain Features => KNN,0.562,0.525,0.5284900284900285,0.525,0.5099935525467441,0.5249999999999999,0.050000000000000044,0.05337605126836238,0:00:00.010230,BCICIV_I,BCICIV_calib_ds1f
 => LDA,0.562,0.5,0.5,0.5,0.48849104859335035,0.5,0.0,0.0,0:00:48.958681,BCICIV_I,BCICIV_calib_ds1b
PSD -> Time Domain Features -> STD_Scaler => SVM,0.562,0.475,0.47333333333333333,0.475,0.4666666666666666,0.47500000000000003,-0.050000000000000044,-0.051639777949432225,0:00:00.016691,BCICIV_I,BCICIV_calib_ds1d
