cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.712,0.2060491493383743,0.4542240969460197,0.2060491493383743,0.2168841650315569,0.5184946842027645,0.05407172508734148,0.06177612527728934,Motor Imaginary,All subjects,PCA,KNN
0.665,0.40723737510126923,0.4089337086823946,0.40723737510126923,0.4077889088110401,0.5916975023126735,0.14123494575140272,0.14131295248604817,Motor Imaginary,All subjects,PCA,XGB
0.402,0.45800702133405347,0.33558012315788094,0.45800702133405347,0.35847232339904034,0.509426658086313,0.02511522442002123,0.03226083414379245,Motor Imaginary,All subjects,time domain features -> wavelet,XGB
0.363,0.36699972994869023,0.44483736020163095,0.36699972994869023,0.39286554599713047,0.574070908579013,0.1525629949315842,0.15627014736313335,Motor Imaginary,All subjects,PCA,SVM
0.345,0.32676208479611124,0.31808170294159166,0.32676208479611124,0.3212816636095066,0.48310876938958824,0.010321450073843441,0.010358778451638451,Motor Imaginary,All subjects,time domain features -> wavelet,SVM
0.284,0.32892249527410206,0.3200101662488004,0.32892249527410206,0.323753637001478,0.5091957259113274,0.008913467878493675,0.008930440366776787,Motor Imaginary,All subjects,time domain features -> wavelet,KNN
