Model,Accuracy
HopefullNet,0.981183037723958
PCA + KNN,0.761996938867381
Transformer Positional,0.6957774376519312
Transformer,0.6847033402358873
PCA + XGB,0.5215629783019717
TmFq + Wvl + XGB,0.3876834428738633
PCA + SVM,0.3781849284235167
ShallowConvNet,0.3650850814801477
EEGNet,0.3563518501845683
DeepConvNet,0.2885567660034213
TmFq + Wvl + KNN,0.2714504366615647
TmFq + Wvl + SVM,0.2436301431529666
